marca,modelo,version,anio_inicio,anio_fin,combustible,startstop,amperaje,sku_baterias,,,,
AUDI,SQ5,3.0 TFSI QUATTRO,2014,2017,,,,MA92QD,,,,
AUDI,TT / TTRS / TTS,TODOS,1998,2012,,,,M28KD,,,,
AUDI,TT / TTRS / TTS,TODOS,2013,2018,,,,MA92QD,,,,
AUDI,TT / TTRS / TTS,2.5 TURBO FSI QUATTRO,2013,2014,,,,ME80CD,,,,
AUDI,TT / TTRS / TTS,ROADSTER 2.5 TURBO,2013,2014,,,,ME80CD,,,,
AUDI,TT / TTRS / TTS,COUPE 2.0 TFSI QUATTRO,2013,2014,,,,ME80CD,,,,
CHEVROLET,AGILE,TODOS,2009,2015,,,,M18FD,,,,
CHEVROLET,ASTRA,TODOS,1995,2011,,,,M26AD,,,,
CHEVROLET,AVEO,1.4 LS,2010,2010,,,,M22GI,,,,
CHEVROLET,AVEO,1.6 16V LS,2009,2009,,,,M26AI,,,,
CHEVROLET,AVEO,1.6 G3,2011,2016,,,,M22GD,,,,
CHEVROLET,BLAZER,TODOS,1995,2012,,,,M28KD,,,,
CHEVROLET,C 10,TODOS,1960,1976,,,,M28KD,,,,
CHEVROLET,CAMARO,TODOS,2010,2016,,,,M30LX,,,,
CHEVROLET,CAMARO,FIFTY 6.2 V8,2017,2018,,,,MA70LD,,,,
CHEVROLET,CAPTIVA,TODAS,2011,2016,,,,M30LX,,,,
CHEVROLET,CAPTIVA,TODAS,2008,2010,,,,M28KD,,,,
CHEVROLET,CELTA,TODOS,2000,2016,,,,M18FD,,,,
CHEVROLET,CHEVETTE,TODOS,1974,1994,,,,M22GD,,,,
CHEVROLET,CLASSIC,TODOS,2003,2016,,,,M18FD,,,,
CHEVROLET,COBALT,TODOS,2015,2018,,,,M22EX,,,,
CHEVROLET,COBALT,TODOS,2011,2014,,,,M26AX,,,,
CHEVROLET,CORSA,TODOS,1994,2011,,,,M22GD,,,,
CHEVROLET,CRUZE,TODOS,2011,2016,,,,M26AX,,,,
CHEVROLET,CRUZE,TODOS,2017,2019,,,,MF80CD,,,,
CHEVROLET,D 10,CS,1982,1994,,,,M28KD,,,,
CHEVROLET,D 20,D 20,1980,2000,,,,M30LI,,,,
CHEVROLET,EQUINOX,PREMIER,2017,2018,,,,MA70LD,,,,
CHEVROLET,GRAND BLAZER,DLX,1998,2005,,,,M22GD,,,,
CHEVROLET,KADETT,TODOS,1989,1995,,,,M22GD,,,,
CHEVROLET,MERIVA,TODOS,2002,2009,,,,M26AX,,,,
CHEVROLET,MONTANA,TODOS,2002,2018,,,,M18FD,,,,
CHEVROLET,MONZA,TODOS,1986,1995,,,,M22GD,,,,
CHEVROLET,NEW CLASSIC,-,2015,2015,,,,M18FD,,,,
CHEVROLET,OMEGA,TODOS,1992,2012,,,,M28KD,,,,
CHEVROLET,ONIX,TODOS,2012,2019,,,,M22EX,,,,
CHEVROLET,PRISMA,TODOS,2006,2018,,,,M22EX,,,,
CHEVROLET,S10,TODAS,1998,2000,,,,M22GI,,,,
CHEVROLET,S10,TODAS,2001,2011,,,,M26AX,,,,
CHEVROLET,S10,TODAS,2012,2018,,,,M30LX,,,,
CHEVROLET,SILVERADO,4.1,1996,2001,,,,M28KI,,,,
CHEVROLET,SILVERADO,4.2 TD Motor Maxion,1997,2003,,,,M30LI,,,,
CHEVROLET,SONIC,TODOS,2012,2015,,,,M26AX,,,,
CHEVROLET,SPIN,TODOS,2015,2018,,,,M22EX,,,,
CHEVROLET,SPIN,TODOS,2013,2014,,,,M26AX,,,,
CHEVROLET,SUBURBAN,-,2000,2012,,,,M28KD,,,,
CHEVROLET,TIGRA,COUPÊ 16 V,1998,1998,,,,M22GD,,,,
CHEVROLET,TRACKER,LTZ,2016,2016,,,,M26AX,,,,
CHEVROLET,TRACKER,5P,2006,2015,,,,M30LX,,,,
CHEVROLET,TRACKER,1.4 TURBO (Start-Stop),2016,2018,,,,MA70LD,,,,
CHEVROLET,TRAILBLAZER,TODOS,2012,2018,,,,M30LX,,,,
CHEVROLET,VECTRA,TODOS,1993,1999,,,,M22GD,,,,
CHEVROLET,ZAFIRA,TODAS,2001,2009,,,,M26AX,,,,
CHEVROLET,ZAFIRA,TODOS,2000,0,,,,M26AX,,,,
CHERY,FULWIN,1.5 HATCH,2013,2018,,,,M26AD,,,,
CHERY,CIELO,TODOS,2010,2012,,,,M22ED,,,,
CHERY,CIELO,TODOS,2013,2017,,,,M26AD,,,,
CHERY,FACE,TODOS,2012,2017,,,,M26AD,,,,
CHERY,FX35,RWD,2010,2010,,,,M22RD,,,,
CHERY,QQ,1.0 12V/1.0 SMILE FL,2014,2018,,,,M18SD,,,,
CHERY,QQ,1.1/ACT 1.0/ACT 1.0 12V,2011,2018,,,,M22JD,,,,
CHERY,RELY,-,2013,2015,,,,M28KD,,,,
CHERY,S-18,1.3 ,2010,2012,,,,M22JD,,,,
CHERY,TIGGO,2.0 16v/ 2.0l,2009,2015,,,,M22RI,,,,
CHERY,TIGGO 2,TODAS,2018,2018,,,,M26AD,,,,
CHERY,TIGGO 3/5,TODAS,2016,2018,,,,M26AD,,,,
CHRYSLER,CARAVAN,TODAS,2000,2007,,,,M28KD,,,,
CHRYSLER,CIRRUS,-,2000,2000,,,,M40FI,,,,
CHRYSLER,GRAND CARAVAN,TODAS,2000,2008,,,,M28KI,,,,
CHRYSLER,NEON,TODOS,1996,2002,,,,M26AI,,,,
CHRYSLER,PT CRUISER,TODOS,2001,2010,,,,M26AD,,,,
CHRYSLER,SEBRING,2.7 LX,2001,2003,,,,M18FI,,,,
CHRYSLER,SIMCA,CHAMBORG,1960,1969,,,,M22GD,,,,
CHRYSLER,TOWN & COUNTRY,3.6 FFV,2011,2015,,,,ME80CD,,,,
CHRYSLER,TOWN & COUNTRY,3.6 LIMITED,2011,2015,,,,ME80CD,,,,
CHRYSLER,TOWN & COUNTRY,3.6 TOURING,2011,2015,,,,ME80CD,,,,
CHRYSLER,TOWN & COUNTRY,3.8 LIMITED,2011,2015,,,,ME80CD,,,,
CHRYSLER,TOWN & COUNTRY,3.6 LIMITED/3.6 TOURING,2016,2017,,,,ME95QD,,,,
CITROEN,AIRCROSS,TODOS MANUAL,2010,2018,,,,M22ED,,,,
CITROEN,AIRCROSS,TODOS AUTOMATICOS,2010,2018,,,,M26AD,,,,
CITROEN,BERLINGO,MULTISPACE,1998,2007,,,,M26AD,,,,
CITROEN,C 3,TODOS,2003,2018,,,,M26AD,,,,
CITROEN,C 3 PICASSO,EXCLUSIVE,2011,2018,,,,M26AD,,,,
CITROEN,C 4,TODOS,2009,2015,,,,M26AD,,,,
CITROEN,C 4 GRAND PICASSO,TODOS,2016,2016,,,,M30LD,,,,
CITROEN,C 4 LOUNGE,EXCLUSIVE/ORIGINE/TENDANCE,2013,2017,,,,M26AD,,,,
CITROEN,C 4 LOUNGE,EXCLUSIVE 1.6 THP/ORIGINE 1.6 THP/S 1.6 THP,2017,2018,,,,M30LD,,,,
CITROEN,C 4 PICASSO,TODOS,2007,2018,,,,M26AD,,,,
CITROEN,C 4 VTR,VTR,2005,2009,,,,M26AD,,,,
CITROEN,C 5,TODOS,2001,2013,,,,M30LD,,,,
CITROEN,C 6,EXCLUSIVE,2006,2008,,,,M30LD,,,,
CITROEN,C 8,EXCLUSIVE,2003,2005,,,,M30LD,,,,
CITROEN,DS3,THP,2012,2016,,,,M30LD,,,,
CITROEN,DS4,THP,2013,2016,,,,M26AD,,,,
CITROEN,DS5,THP,2012,2016,,,,M30LD,,,,
CITROEN,JUMPER,TODOS,1997,2018,,,,ME95QD,,,,
CITROEN,XANTIA,TODOS,1994,2001,,,,M26AD,,,,
CITROEN,XM,TODOS,1993,2000,,,,M26AD,,,,
CITROEN,XSARA,TODOS,1998,2004,,,,M26AD,,,,
CITROEN,XSARA PICASSO,TODOS,2001,2013,,,,M26AD,,,,
VW - VOLKSWAGEN,AMAROK,2.0 ,2011,2018,,,,M30LD,,,,
VW - VOLKSWAGEN,AMAROK,3.0 TURBO DIESEL V6 /BITURBO / DIESEL,2010,2018,,,,ME95QD,,,,
VW - VOLKSWAGEN,BORA,1.9 TDI / 2.0,2000,2016,,,,ME80CD,,,,
VW - VOLKSWAGEN,BORA,TODOS (NAFTA),2006,2015,,,,M30LD,,,,
VW - VOLKSWAGEN,BORA,TODOS,2016,2018,,,,M26AD,,,,
VW - VOLKSWAGEN,Caddy ,TODOS,1998,2010,,,,M26AD,,,,
VW - VOLKSWAGEN,Carat,Carat 2.0,1989,1993,,,,M26AD,,,,
VW - VOLKSWAGEN,CROSS UP,1.0 12V,2014,2018,,,,M22ED,,,,
VW - VOLKSWAGEN,CROSS UP,1.0 12V I-MOTION,2014,2018,,,,M22ED,,,,
VW - VOLKSWAGEN,CROSSFOX,1.6,2005,2016,,,,"M20GD,FW70,M22GD",,,,
VW - VOLKSWAGEN,CROSSFOX,1.6 16V MSI,2015,2017,,,,M22ED,,,,
VW - VOLKSWAGEN,DELIVERY,5-140E,2006,2009,,,,ME100HA,,,,
VW - VOLKSWAGEN,DELIVERY,8-150E,2005,2009,,,,ME100HA,,,,
VW - VOLKSWAGEN,FOX,CONFORTLINE / HIGHLINE / SPORTLINE,2003, 2018,,,,"M20GD,FW70,M22GD",,,,
VW - VOLKSWAGEN,FOX,PEPPER / ROUTE,2007,2019,,,,M22ED,,,,
VW - VOLKSWAGEN,GACEL,1.6 / 1.8,1984,1992,,,,"M26AD,FW85",,,,
VW - VOLKSWAGEN,GOL,PRIMERA GENERACION  G2 (AB9) / G3 (NAFTA),1980,2005,,,,"M22GD,M20GD,FW70",,,,
VW - VOLKSWAGEN,GOL,G2 (AB9) / G3 (DIESEL),1994,2005,,,,"M26AD,FW85",,,,
VW - VOLKSWAGEN,GOL,HIGHLINE / TRENDLINE,2006,2018,,,,M22ED,,,,
